Year,Quarter,Product Name,Brand,Sales Channel,Storage Condition,Customer Location,Approx. Total Revenue(INR),Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Shelf Life (days),Total Land Area (acres),Number of Cows,Quantity_per_Cow,Sales_Efficiency,Production_Density,Price_to_ShelfLife_Ratio,Reorder_Intensity,Production_to_ShelfLife,Land_Productivity
2019,Q1,Butter,Amul,Online,Frozen,Rajasthan,10486.84,32.0,17.37,115.85,39.0,385.57,65.0,4.123076923076923,0.8911944666134609,4.626461538461539,1.0033333333333334,0.43227611940298505,7.710769230769231,0.7799361983556813
2019,Q1,Butter,Amul,Retail,Frozen,Karnataka,17627.66,378.5,80.74000000000001,90.515,36.5,523.725,39.0,5.487179487179487,0.4402658053366799,12.463333333333333,1.5510958904109589,0.42296728971962616,13.316986301369862,0.9281015800276863
2019,Q1,Butter,Amul,Retail,Frozen,Uttar Pradesh,2029.06,8.0,27.1,22.11,29.0,672.52,32.0,0.6875,0.7168458781362007,0.9590625,3.180344827586207,1.005,1.0582758620689656,0.045634330577529296
2019,Q1,Butter,Amul,Retail,Refrigerated,Bihar,10801.28,39.0,12.52,164.22,25.0,612.82,80.0,1.4,0.7408877422769069,1.8896249999999999,3.8575999999999997,1.46625,6.046799999999999,0.2466792859240886
2019,Q1,Butter,Amul,Wholesale,Frozen,Jharkhand,23175.6,110.0,82.68,104.08,36.0,347.34,46.0,5.391304347826087,0.6920608343797963,7.790217391304348,2.595833333333333,0.4196774193548387,9.954166666666667,1.031698048022111
2019,Q1,Butter,Amul,Wholesale,Refrigerated,Jharkhand,29063.76,437.0,76.67,126.16,26.0,83.9,34.0,8.911764705882353,0.40945392629829325,21.765,3.689230769230769,0.41636963696369633,28.461923076923078,8.820143027413588
2019,Q1,Butter,Amul,Wholesale,Refrigerated,Kerala,61855.46,192.0,34.08,113.36,38.0,721.78,46.0,16.804347826086957,0.8002898850812714,20.997826086956522,2.10578947368421,0.14664941785252264,25.41842105263158,1.3382194020338607
2019,Q1,Butter,Mother Dairy,Wholesale,Refrigerated,Chandigarh,17553.12,410.0,47.62,148.82,28.0,247.35,81.0,3.8518518518518516,0.43160093513535946,8.924567901234568,2.0092857142857143,0.47698717948717945,25.8175,2.922538912472205
2019,Q1,Butter,Parag Milk Foods,Online,Frozen,Gujarat,36818.6,349.0,86.94,160.89,25.0,293.43,35.0,14.0,0.5840007627765065,23.972571428571428,3.0056,0.3283469387755102,33.5616,2.8594213270626723
2019,Q1,Butter,Parag Milk Foods,Online,Refrigerated,Tamil Nadu,9824.67,341.0,53.01,187.95,30.0,679.15,82.0,2.1097560975609757,0.33610506683245256,6.277073170731708,1.893,1.0864161849710983,17.157333333333334,0.7578885371420159
2019,Q1,Butter,Parag Milk Foods,Retail,Frozen,Bihar,9440.22,416.0,67.52,129.08,40.0,515.84,36.0,3.5833333333333335,0.23651497928202123,15.150555555555554,1.8295000000000001,1.00062015503876,13.635499999999999,1.0573433622828783
2019,Q1,Butter,Parag Milk Foods,Retail,Refrigerated,Bihar,16354.94,13.0,91.66,112.36,38.0,528.93,26.0,7.576923076923077,0.936489826963301,8.090769230769231,2.184736842105263,0.5703553299492385,5.535789473684211,0.39770858147580973
2019,Q1,Butter,Parag Milk Foods,Wholesale,Refrigerated,Karnataka,23210.5,441.0,34.35,104.43,25.0,78.55,89.0,3.4269662921348316,0.4087649936339878,8.383707865168539,3.0439999999999996,0.34239344262295085,29.846,9.499045194143857
2019,Q1,Butter,Warana,Online,Refrigerated,Karnataka,31398.0,329.0,99.53,65.43,40.0,395.78,50.0,12.0,0.645765393432566,18.5826,1.30825,0.10905000000000001,23.22825,2.347592096619334
2019,Q1,Butter,Warana,Retail,Refrigerated,Bihar,5347.2,222.0,11.16,51.24,36.0,104.68,59.0,3.2542372881355934,0.46301878602262037,7.028305084745763,0.7736111111111111,0.26687500000000003,11.518611111111111,3.961310661062285
2019,Q1,Butter,Warana,Wholesale,Frozen,Delhi,37185.92,45.0,62.18,168.12,32.0,225.07,54.0,14.37037037037037,0.9443031505165679,15.217962962962963,1.4975,0.2166494845360825,25.6803125,3.6511751899409073
2019,Q1,Butter,Warana,Wholesale,Frozen,Haryana,30146.48,594.0,53.34,115.57,38.0,691.1,33.0,12.242424242424242,0.4045988062332252,30.258181818181818,1.963684210526316,0.28606435643564354,26.276842105263157,1.4448270872522067
2019,Q1,Butter,Warana,Wholesale,Frozen,Jharkhand,39395.18,151.0,35.82,163.04,35.0,897.53,46.0,9.695652173913043,0.7462062273084709,12.99326086956522,2.5237142857142856,0.3655605381165919,17.076857142857143,0.665927601305806
2019,Q1,Butter,Warana,Wholesale,Frozen,Maharashtra,17850.0,1.0,56.15,124.41,32.0,467.23,46.0,7.608695652173913,0.99644128113879,7.635869565217392,1.59375,0.35545714285714286,10.9765625,0.7517710763435567
2019,Q1,Butter,Warana,Wholesale,Frozen,Uttar Pradesh,13623.79,545.0,66.93,40.36,35.0,734.14,51.0,8.019607843137255,0.4282946751138803,18.72450980392157,0.9517142857142857,0.098679706601467,27.284285714285716,1.3007736943907158
2019,Q1,Buttermilk,Amul,Online,Refrigerated,Tamil Nadu,14698.53,112.0,34.65,195.36,12.0,698.76,75.0,2.52,0.6268033031539151,4.0203999999999995,6.480833333333333,1.0336507936507937,25.127499999999998,0.4315215524643654
2019,Q1,Buttermilk,Amul,Retail,Refrigerated,Chandigarh,32123.0,43.0,74.92,149.92,8.0,408.86,72.0,4.513888888888889,0.8831521739130435,5.111111111111111,12.355,0.46129230769230767,46.0,0.9000635914493959
2019,Q1,Buttermilk,Amul,Retail,Refrigerated,Gujarat,42381.4,38.0,85.69,187.63,14.0,283.72,88.0,6.670454545454546,0.9379244227850123,7.1119318181818185,5.1571428571428575,0.31964224872231684,44.70357142857143,2.2058719864655294
2019,Q1,Buttermilk,Amul,Wholesale,Refrigerated,West Bengal,6411.36,41.0,61.36,44.74,9.0,846.82,42.0,2.642857142857143,0.7264397905759161,3.6380952380952385,6.417777777777777,0.40306306306306305,16.977777777777778,0.1804397628775891
2019,Q1,Buttermilk,Mother Dairy,Online,Refrigerated,Madhya Pradesh,506.88,17.0,57.41,151.6,8.0,333.84,34.0,0.5294117647058824,0.5129666571672841,1.032058823529412,3.52,8.422222222222222,4.38625,0.10511023244668107
2019,Q1,Buttermilk,Mother Dairy,Online,Refrigerated,Tamil Nadu,2815.64,31.0,62.58,161.32,8.0,50.61,70.0,1.2285714285714286,0.7348543108604632,1.671857142857143,4.0925,1.875813953488372,14.62875,2.312388855957321
2019,Q1,Buttermilk,Mother Dairy,Retail,Refrigerated,Tamil Nadu,83934.9,5.0,81.01,94.86,7.0,463.98,63.0,15.0,0.9942449524971856,15.086825396825397,12.688571428571427,0.10038095238095238,135.78142857142856,2.0485150221992328
2019,Q1,Buttermilk,Mother Dairy,Retail,Refrigerated,West Bengal,16835.4,421.0,92.82,146.29,12.0,984.93,28.0,20.142857142857142,0.5723796378988389,35.191428571428574,2.4875000000000003,0.25937943262411345,82.11333333333333,1.0004365792492869
2019,Q1,Buttermilk,Mother Dairy,Wholesale,Refrigerated,Jharkhand,9653.9,116.0,64.08,63.62,8.0,609.62,27.0,7.037037037037037,0.6204081632653061,11.342592592592593,6.35125,0.3348421052631579,38.28125,0.5023621272267971
2019,Q1,Buttermilk,Mother Dairy,Wholesale,Refrigerated,Telangana,11358.8,509.0,46.12,32.45,14.0,819.45,42.0,6.9523809523809526,0.3644305772230889,19.077380952380953,2.7785714285714285,0.11113013698630138,57.232142857142854,0.9777899810848739
2019,Q1,Buttermilk,Raj,Retail,Refrigerated,Delhi,27722.44,227.5,55.345000000000006,148.01,9.5,373.03499999999997,61.5,8.910569105691057,1.0918727211141883,8.16081300813008,5.514736842105263,0.2700912408759124,52.83052631578947,1.3454233516962215
2019,Q1,Buttermilk,Raj,Retail,Refrigerated,West Bengal,10156.56,248.0,95.13,190.1,12.0,738.57,96.0,4.208333333333333,0.6192709770379227,6.795625,2.095,0.4705445544554455,54.365,0.8833015150899711
2019,Q1,Buttermilk,Raj,Wholesale,Refrigerated,Delhi,29626.82,615.0,96.73,185.4,14.0,409.51,99.0,3.202020202020202,0.3400630779463194,9.415959595959595,6.675714285714285,0.5848580441640379,66.58428571428571,2.276330248345584
2019,Q1,Buttermilk,Raj,Wholesale,Refrigerated,Jharkhand,7435.8,225.0,79.92,31.78,10.0,943.29,10.0,20.4,0.4747056359659329,42.974000000000004,3.6450000000000005,0.1557843137254902,42.974000000000004,0.455575697823575
2019,Q1,Buttermilk,Raj,Wholesale,Refrigerated,Karnataka,31823.1,106.0,40.12,42.98,11.0,23.73,47.0,7.276595744680851,0.7624228102637269,9.54404255319149,8.459090909090909,0.12567251461988302,40.77909090909091,18.90307627475769
2019,Q1,Buttermilk,Raj,Wholesale,Refrigerated,Tamil Nadu,559.24,750.0,14.76,96.46,7.0,315.64,72.0,0.6111111111111112,0.055386319579063974,11.03361111111111,1.8157142857142858,2.192272727272727,113.48857142857142,2.516854644531745
2019,Q1,Buttermilk,Sudha,Online,Refrigerated,Chandigarh,4760.96,150.0,47.12,184.58,10.0,273.2,82.0,0.7804878048780488,0.2986328216135505,2.613536585365854,7.439,2.8840625,21.431,0.7844436310395315
2019,Q1,Buttermilk,Sudha,Online,Refrigerated,Delhi,10700.75,90.0,81.37,82.42,9.0,809.14,73.0,1.5753424657534247,0.5604015398859704,2.811095890410959,10.338888888888889,0.7166956521739131,22.801111111111112,0.2536149492053291
2019,Q1,Buttermilk,Sudha,Online,Refrigerated,Tamil Nadu,1028.5,192.0,36.99,88.68,9.0,184.98,54.0,1.5740740740740742,0.3057663944746214,5.147962962962963,1.3444444444444443,1.043294117647059,30.887777777777778,1.5028111147151044
2019,Q1,Buttermilk,Sudha,Online,Refrigerated,Uttar Pradesh,6497.06,268.0,21.42,29.58,11.0,735.36,12.0,32.833333333333336,0.5951212144097878,55.17083333333333,1.499090909090909,0.07507614213197969,60.18636363636363,0.9003073324630112
